Time,Greedy,INMA,No Charge
4140,8.02963996379104,5.27300423997661,5.29976383997659
4150,8.02567291468367,5.26116479997657,5.28891959997656
4160,8.01837925068363,5.25017855997654,5.27665815997652
4170,8.01234996668359,5.23866791997651,5.26592951997649
4180,8.00537062268355,5.22800167997648,5.25345927997645
4190,7.99851269868352,5.21791263997645,5.24114903997641
4200,7.9914561946835,5.20652199997642,5.22875879997637
4210,7.98424253068347,5.19525575997639,5.21775895997634
4220,7.97658674894677,5.18232791997634,5.20649711997631
4230,7.97162427626337,5.17247007997632,5.19607487997628
4240,7.96634464357997,5.16095063997629,5.18368903997624
4250,7.96102785089656,5.14923999997625,5.17224519997621
4260,7.95598537821316,5.13808935997622,5.15923735997617
4270,7.95043000552976,5.12620111997618,5.14833991997614
4280,7.94380741284635,5.11502367997615,5.13748687997611
4290,7.93833488016295,5.10393063997612,5.12518543997607
4300,7.93376672747955,5.09362399997609,5.11354599997604
4310,7.92864567479615,5.08198455997606,5.10276855997601
4320,7.92305172211275,5.06910991997602,5.09191111997598
4330,7.91714202942935,5.05730607997598,5.08267087997596
4340,7.91174665674595,5.04500023997594,5.07148023997593
4350,7.90595696406254,5.03407159997591,5.06013399997589
4360,7.90012585137914,5.02140135997587,5.05046735997587
4370,7.89366183869573,5.00865111997583,5.03999631997584
4380,7.88704066601233,4.99620767997579,5.03022287997582
4390,7.88132671332892,4.98492823997576,5.01750383997578
4400,7.87581134064552,4.97260439997572,5.00579759997574
4410,7.86974022796211,4.9621601599757,4.99369175997571
4420,7.86394911527871,4.95115151997567,4.98229671997567
4430,7.8575236825953,4.94109367997564,4.97182127997564
4440,7.8516925699119,4.93047623997561,4.96022183997561
4450,7.8454271372285,4.92036519997559,4.94908439997558
4460,7.8407018245451,4.90869015997555,4.93698295997554
4470,7.8357407718617,4.89721511997552,4.92584111997551
4480,7.82943391917829,4.88490487997548,4.91432167997548
4490,7.82360280649489,4.87313223997544,4.90196703997544
4500,7.81872033381149,4.86302999997542,4.89120279997541
4510,7.81367928112809,4.85317655997539,4.87923015997537
4520,7.80855964844469,4.84289231997537,4.86699991997534
4530,7.80275724783965,4.83323447997534,4.8552672799753
4540,7.79665080383963,4.82183943997531,4.84317463997526
4550,7.79010861983961,4.81035999997528,4.83290359997524
4560,7.78305211583958,4.79855615997524,4.8216017599752
4570,7.77544129183956,4.78667231997521,4.80930911997517
4580,7.76933200783954,4.77533487997517,4.79614567997512
4590,7.76219408383951,4.76299783997514,4.78433743997509
4600,7.75576905983949,4.7503719999751,4.77419079997506
4610,7.74879113583946,4.73770175997506,4.76312895997503
4620,7.74039167183943,4.72615551997502,4.752973519975
4630,7.73380948783941,4.71460047997499,4.74220047997498
4640,7.72710730383938,4.70299223997495,4.72923703997493
4650,7.72052511983936,4.69171279997492,4.71685559997489
4660,7.71425725583934,4.67925135997488,4.70550055997486
4670,7.70818655183932,4.66695431997484,4.69376791997483
4680,7.70164641124136,4.65683887997482,4.68219967997479
4690,7.69486422724134,4.64519503997478,4.67155543997477
4700,7.68903210324132,4.63306239997475,4.65835199997472
4710,7.6823699192413,4.62312895997472,4.64644135997469
4720,7.67487767524127,4.61016551997468,4.63495311997465
4730,7.66730827124124,4.59985447997465,4.62202967997461
4740,7.66131898724122,4.58784623997462,4.61051463997458
4750,7.6552125432412,4.5787303999746,4.60070559997455
4760,7.64918325924118,4.56729975997456,4.58891975997452
4770,7.64311255524116,4.55442511997452,4.57687151997448
